Tweets,Label
नोबेल कोरोना वायरस आपदा महामारी दृष्टिगत जनपद संभ्रांत व्यक्तियों स्वयं सेवी संस्थाओं दी गई राहत सामग्री,1
ईटाली धन कुबेर होटल छत छलांग मारके आत्महत्या हत्या करली क्योंकि ईसके सारे घरवाले कोरोना खत्म,0
कोरोना वायरस बचाव दीदी स्मृति जूबिन इरानी सांसद अमेठी महिला बाल विकास वस्त्र मंत्री भारत सरकार अप,0
DM साहब कोरोना हराने वाला देश पहला जिला होगा जौनपुर सबको मिला pm cm हम लोगो dm मिला अच्छा,1
कोरोना हराएगें राजनीति चमकाएगें,0
आज तबलीग जमात कोरोना फैलाने इल्ज़ाम लगा दिन उन्ही क़दमों गिर कोरोना नज़ात दुआ करवाओगे इंशाअल्लाह,0
जी डा साहब बीजेपी आई टी सेल भूमिका सरकार आने कोरोना वा,0
Lockdown फंसे लोगों कोरोना संभावना ज्यादा भारत सरकार व्यवस्था नही रही इतनी,0
वाराणसी शानदार तस्वीर कर्तव्यपथ अद्भुत लकीर सिपाही जी पहुंचते पत्नी बोलकर बाहर पानी,0
अलका लांबा सलमान निज़ामी ट्वीट देखकर लगता कोरोना देश कांग्रेस जायेगी,0
दुख लोगों सोच वो कैसे इतने मूर्ख पटाखे फोड़ बेशर्म लोग इनके दिवाली आई,0
आज महल झोपड़ी जननायक मोदी जी कोरोना विरूद्ध मुहिम दे रही,1
मौलाना कोरोना ताकत लगा ले बच कोरोना मौलाना मरकज दिल्ली पुलिस क्राइम ब्रांच टीम फॉरेंसि,1
चीन कोरोना इसलिए जीत क्योकि चीन केवल कोरोना लडा़ हम यहा कोरोना गधो लड़,1
जापान ५५०० करीब कोरोना संक्रमित ५३ मरे सिर्फ ३५ हजार टेस्ट लाक डाउन इन्हे काबू लेने भरोसा,1
MissingMissingMissing रोहतक झज्जर लोगों हीरा हरा गुमशुदा M P चुन लिया विपदा घडी देश,0
डंडे पड़ेंगे डंडे कोरोना वायरस कारण लॉकडाउन अप्रैल बिना जरूरी एमरजेंसी घरों खामेखा घूमने निकलो,1
कोरोना वायरस पुलिस थूकने वाला वायरल वीडियो मुंबई निज़ामुद्दीन मरकज़ सम्बन्ध,1
अब कोरोना अगर बाहर घुमता दिखे टॉर्च लाईट मारे महान वैज्ञानिक नरेंदर दास,0
कोरोना वायरस ऐड़का सरकार मुसलमानों तबलीगी जमात खिलाफ जहर फैलाने वालों खिलाफ सख्त कार्रवाई,1
जमात चार ग्रुप पहला कोरोना फैलाएगा दूसरा डॉक्टर पत्थर तीसरा भाईचारे बात चौथा मीडिया विक्टिम कार्ड M,1
नर्सेज भर्ती पूरी करो राजस्थान सरकार निवेदन कोरोना महामारी नर्सिंग भर्ती अभ्यार्थियों नियु,1
धर्म शिक्षा जिसको बचाने कागजी ढाल लेे दिन भर आपलोग स्टूडियो आतंकवाद,0
कोरोना ख़िलाफ़ महायुद्ध जीतने करोड़ देशवासियों एकजुटता ऐतिहासिक प्रदर्शन माननीय प्रधानमंत्री श्री,1
१५ अप्रैल सरकार इन्टरनेशनल फ्लाईट चालु करेगी हम आगे लोकडाउन क्युं देगें विदेश,1
अबे सालो वामपंथियों अगर दीपक जलने कोरोना भाग मोमबत्ती रेप कैसे रुक,0
विश्वास जीतने जान खतरे डाल देना सी समझदारी लगातार पूरे भारत मस्जिदों कोरोना बम प,0
मुड़न जरूर होगा कोरोना,0
इधर बजे उधर पटाखों आवाज़ें आना शुरू गईं डाॅक्टर्स पास किट पर्याप्त सुविधाएं,0
अब भारत लगभग कोरोना मरीज पाये गये जिनमें मुसलमान बाकी सब इंसान,0
आओ दीया जलाएं हमें मिलकर कोरोना संकट अंधकार चुनौती देनी IndiaFightsCorona pmminute,1
घूम कोरोना फैला नाम पुकारोगी जमाती आतंकवादी संगठन,1
वुसत डायरी ख़याल रखिएगा हम सबको कोरोना लंबी लड़ाई लड़नी सुनिए वुसअतुल्लाह ख़ान आपसे क्या,0
देश प्यार हर पल कहना चाहिए मैं रहूँ रहूँ भारत रहना चाहिए सिलसिला मेरे यूँ चलना चाहिए,0
आज रात बजे मिनट घरों लाईट बंद दीप जलाये कोरोना विरुद्ध जंग जितने एकजुटता दिखये,1
डर धंधा खत्म बॉयकॉट जरूर होगा लोग प्रतिष्ठानों CAA NRC विरो,0
देखये कोरोना नही इनको इनकी भूक मार डाला अब बारे क्या कहेगे मोदी जी बस ताली ताली बजवानी,0
समझ नही आ जमातियों कोरोना कोरोना इनकी बीमारी लग गयी अब नर्सों छेड़छाड़,1
कोरोना विरोधी अभियान कमान राजनाथ संभाली मंत्रियों उच्चस्तरीय बैठक फैसले,1
जयनगर रेलवे स्टेशन ट्रेन आइसोलेशन कर्मचारी कोरोना वायरस,1
कोरोना मार टोल रेट बढ़ा मार नई नई मार रही सरकार निजी वाहन यात्री वाहन वाणिज्यिक वाहन टोल बढ़ोत्तरी,1
तब्लीगी जमात देश कोरोना तबला बजा जिसकी गूंज दूर दूर सुनाई दे रही लोग खुले आम,0
कोरोना कोहराम भारत मचा तभी बात मुझे बेचैन रही इसलिए मैंने सोचा क्यों बेचैनी आपलो,0
पटाखे लिस्ट शामिल  सिर्फ दीया मोमबत्ती पटाखे क्यूं फोड़ा कोरोना बारात निकालनी,1
केवल तबलीगी जमात कोरोना पॉजिटिव मरीज भगवान जाने कितने प्रतिशत इनकी वजह वायरस चपेट आये,1
कोरोना लड़ाई अब चीन टक्कर दे भारत राज्य बनाई ऐसी जबरदस्त मशीन,1
ServingTheNation Dera Sacha Sauda कोरोना वायरस महामारी संकट दौरान सिंह जी इंसा प्रेरणा,1
As No treatment No Vaccine available Covid Lockdown best solution break chain,1
कल इंदौर आज खबर हैदराबाद कोरोना जाँच वाली टीम थूका पत्थर फेंके लोग देश,1
विकसित देशों परमाणु बम मिसाइले युद्धपोत अत्याधुनिक मेडिकल सुविधाएं कोरोना वायरस सामने घुटने टेक चुकी क्यों,1
सनद कोरोना महामारी लड़ाई सौ मीटर दौड़ बल्कि मैराथन देश समाज परिवार सर,0
पास लिखे सवालों जवाब बताये रोज कितने लोगों टेस्ट,0
अब कोरोना जूझ हर सरकारी स्टाफ़ पूरे देश हमले शुरू कर्नाटक बेंगलुरु आशा वर्कर कृष्नावेणी अनु,1
मंदिर योगदान देते सच बताना मंदिर योगदान कब देंगे हज़ारों करोड़ों रुपयों बाबा क्या कोरोना डो,0
चाहते क्या मुस्लिम बाहुल्य इलाके कोरोना संदिग्धों जांच वाली मेडिकल टीम हमले खबर इ,0
प्रदेश निजी संस्थाओं उपक्रमों संसाधनों भवनों कोरोना निपटने सरकार उपयोग लेने,1
कोरोना वायरस बचाव ₹ करोड़ ₹ लाख धनराशि सांसद प्रवीण निषाद जी दिये प्रधानमंत्री राहत कोष,1
इतनी तैयारी कोरोना कंफ्यूज साला घुसू कँहा  writes ecstatic AAP volunteer,0
कोरोना वायरस अाया लाया अगर हाँ लिस्ट जारी होनी चाहिए अगर नही भेद,0
यहा चीन नही यहा मरकजी जमात फैलाये पुरी दुनिया कोरोना जीहादी निजामूद्दिन एकठे हूऐ महामा,0
दिल्ली आज कोरोना नए मामले मामले NizamuddinMarkaz आये अब मौतें जिनमें,0
कोरोना भाइरसको कारण जर्मनीका मन्त्रीले गरे आत्महत्या Cinekala,0
बार ए कोरोना लफड़ा खत्म जाए फिर ऐसी घड़ी खरीदूंगा जिसमें रात कभी बनेंगे Jk,0
“कोरोना” अंधियारा मिटाना हम सब दीप जलाना हम दीए जलाएंगे,1
कोरोना दुनिया तमाम देशों इंडिया पहुंचा यहां आते तब्लीगी जमात वालो इस्लाम कुबूल करा,0
लाईट बुजायेगे जलायेगे बुजाकर लाईट जलायेगे मतलब आगरा पागल खाने जाने लायक काम दुग्गल साहब प,0
आम आदमी पार्टी दोहरा चरित्र तरफ कार्यवाई बातें दूसरी तरफ कोरोना खिलाफ लड़ाई,1
भाई बजा सकतें इससे कोरोना वायरस फैलने डर थोड़े,0
इंदौर मुंगेर हैदराबाद doctors जांच टीम मुसलमानों हमला कोरोना मरीज आतंकवादी बचा,0
कोरोना खिलाफ जंग देश दिखा एकजुट BajeMinute,1
जिहाद फैलाता TikTok इटली लोग ताली बजाकर मोमबत्तियां जला देश एकता प्रदर्शित परन्तु भारत इटली वा,0
कोरोना खिलाफ पीएम नरेंद्र मोदी मां जलाएं दीप देखें वीडियो AaoDiyaJalayein IndiaFightsCorona,1
कोरोना मार टोल रेट बढ़ा मार नई नई मार रही सरकार निजी वाहन यात्री वाहन वाणिज्यिक वाहन टोल बढ़ोत्तरी,1
कोरोना महामारी लड़ने आर्थिक सहयोग IndiaFightsCarona StayHomeSaveLives,1
कोरोना वायरस बचाव रणनीति बनानी ट्रंप आरती उतारी रही मास्क बनवाने अहमदाबाद,1
कोरोना BJP ज्वाइन ली उसने BJP MLA सिर्फ जमातियों फैलेगा तुम्हारे जुलूस फैलेंगे,0
हार जाती मान लिया जाता जीत ठान लिया जाता  कोरोना हारेगा भारत जीतेगा,0
जितने कार्यक्रम कोरोना लड़ने फेस मास्क बना जरूरतमंदों भोजन करा,1
दिल्ली केजरीवाल सरकार दिल्ली दुश्मन बन चुकींी अमानतुल्ला खान खुलेआम कोरोना फैलाने आंतकवादियो तबलीगी ज,0
सरकारी स्कूलों जिलों सेल्टर होम बना जाए ताकि बेसहारा देहारी गरीब मजदूर जरूरत,0
CAA तुरंत समझ आ दिल्ली पाकिस्तान बना NRCतो ड्राफ्ट बनने समझ आ थालेकिन कोरोना वाइरस,0
बच्ची समझ सकती बड़े बुज़ुर्ग क्यों हम SocialDistancing ख्याल कोरोना महामारी,1
कोरोना फैलाना क्या,0
मोदी जी विनती केजरीवाल जी तर्ज डॉक्टर्स नर्स सफाई कर्मचारी कोरोना लड़ाई अ,1
सावधान बीड़ीयों कोरोना फैलने पुरा खतरा क्योकि ज्यादातर तब्लीगी जमात जिहाद फैक्टरीयां,0
“कोरोना” अंधियारा मिटाना हम सब दीप जलाना हम दीए जलाएंगे बजेमिनट,1
हे देवी प्रज्ञा कोरोना वायरस श्राप दे संसार महामारी मुक्त कराओ,0
राजस्थान बीकानेर साल महिला मृत्यु कोरोना कारण गई जबकि महिला इतिहास बाहर जाने,0
सिख बंधु चंडीगढ़ लोगों कीर्तन कोरोना अब दुनिया छो ड़कर चुके लगता,0
अबे फस गए कोरोना,0
अप्रैल बजे मिनट देश प्रधानमंत्री श्री नरेंद्र मोदी जी कोरोना हराना देश जिताना,1
कोरोना रूपी राक्षस आपके बाहर निकलने घुमने दावतों जलसों समारोह मेलों ताकत मिलती ओर हम इससे ह,1
कोरोना सुझाव लेने पीएम मोदी मनमोहन सोनिया समेत नेताओं बात,1
कोरोना रूपी अंधकार हटेगा प्रकाश फैलेगा एकता कोरोना खिलाफ जंग जीती जाएगी जय हिन्द bajeminute,1
जेएनयू मेन गेट विडियो शिक्षित कहलाने वाला विद्यार्थि गार्डों थूकने कोरोना फैलाने धमकी दे,1
उन्होंने कंडोम पहन आज दुनिया कम मास्क पहनने पड़ते भीड़भाड़ ज्यादा फैलता कोरोना,0
मोदी जी आभास प्रश्न सिचुएशन बनने वाली वो आपको टास्क पकड़ा देते आपने पूछा देश,0
कल भीलवाड़ा दिन महाकर्फ्यू तैयारी घर बाहर निकलने होगी कार्यवाही हम कोरोना हरा देगे,1
TV ज़्यादा बड़ी महामारी मान कोरोना सामने हाथ जोड़े,0
कोरोना जंग जीत बेड उठे मां बेटे खड़े होकर अस्पताल स्टाफ स्वागत Coronafighters,1
दीप ज्योति परम ज्योति दीप ज्योति जनार्दनः दीपो हरतु पापं दीप ज्योति नमोस्तुते शुभं करोतु कल्याणाम् आरोग्यम् धन स,0
इंदौर टाट पट्टी इलाका जहा डाक्टर्स पत्थर मारे वहा कोरोना पाजिटिव मिले अब इलाज करेगा,1
लाकडाउन नोटबंदी याद दिला दी क्या बिना तैयारी तालाबंदी गयी कोरोना वायरस कोरोना हराना कोरो,0
मेम कोरोना हम कैसे जीते सुझाव देना,1
भाजपा नेताओं तबलीग़ी जमात देशभर फैले संक्रमण ‘कोरोना जिहाद मानव बम’ उद्धव बोले मज़हबी रंग दें,0
मित्रों ठीक बजेमिनट केक कटेगा  हैप्पी बड्डे मानेगा बत्ती बुझा  संस्कृति अपनाओ कोरोना भगाओ,0
ब्रेकिंग न्यूज़ वैष्णो देवी मंदिर फंसे लोगों कोरोना पॉजिटिव test चालू मुस्लिम खिदमतगार,1
भारतीय युवा कांग्रेस राष्ट्रीय अध्यक्ष श्रीनिवास जी प्रभारी कृष्णा जी निर्देशानुसार जिला रोहतक पंचकूला हरि,0
हिन्दू ह्रदय सम्राट मा मुख्यमंत्री उ प्र करोड़ प्रदेशवासी आपके निश्चित,0
माननीय प्रधानमंत्री प्रेरणा कोरोना महामारी विश्वव्यापी अंधकार प्रकाश ओर देशवासियों क़दम संदर्भ,1
खुद कोरोना वायरस समाज इनसे उम्मीद,1
राजस्थान संविदा फार्मासिस्ट जिम्मेदारी कोरोना पीड़ित संक्रमित मरीजो जान परवाह,1
मूडी जी तैयारी कोरोना लड़ने टेस्टिंग सेंटर दिए लाख PPE खरीद करोड़ PPE,1
तेरी कौम लोग Dr पत्थर मर हर जगह थूक पथर फेक साले जाहिल तू तेरी कौम,0
संवैधानिक पद आसीन आरिफ मोहम्मद खान सरीखे विद्वान शख्स छुटभैया दंगाई नेता दलाल शब्द इस्तेमाल,0
मीडिया गिरना बाकी अगली खबर होगी कोरोना हिन्दू मुस्लिमों मौत गोदी मीडिया,0
चार शब्द तबलीगी जमातियों बोलते अच्छा जमातियों कोरोना पॉजिटिव मरीजों संख्या,1
कोरोना बचने सही तरीका,1
प्रधानमंत्री जी आपने देश दीया जलाने आह्वान दिए न्यूनतम ₹ खर्च आएगा प्र,1
इतने लोगों कोरोना नाम पैसे दिए जनता खाली भूखी प्यासी असहाय आखिर पैसों क्या,1
माननीय मुख्यमंत्री जी निवेदन पुलिस जिहादियों गालियां चलाने आदेश दे वो कोरोना फाइटर सुरक्षा,1
वक्त कहता मैं आऊंगा मुझे खुद पता तुझे हसाऊंगा रुलाऊंगा जीना पल जी ले क्योंकि मै,0
कोविड केयर फंड बनाने वाला पहला राज्‍य बना UP कोरोना निपटने योगी आदित्‍यनाथ बड़ी घोषणा,1
प्रधानमंत्री श्री नरेन्द्र मोदी जी आव्हान देशवासियों आज दीप प्रज्वलित कोरोना हराने संकल्प लि,1
आज हाज़िरी लगवाइये  हमें कोरोना हर हाल हराना,1
चैतमा विदेशबाट आएका सबैको कोरोना परीक्षण र्‍यापिड टेस्ट गरिने २०७६ चैत २३ चैत महिनामा विदेशबाट आएका सबैको कोरोना,1
देश गृहमंत्री जीगृहमंत्री जी पता चला हेड कॉन्स्टेबल RD यादव जी कोरोना टेस्,0
हिंदुस्तान कोरोना ख़िलाफ़ लड़ाई मोर्चों वायरस हम सब लड़ अब जाहिलियत लड़ना,0
BREAKING बड़कागांव कोरोना महामारी स्थिती देखते बड़कागांव विधायक क्षेत्र विभिन्न पं,0
कोरोना महामारी टॉर्च मोमबत्ती भागेगा मोदी जी अंधेर नगरी चौपट राजा,1
आज हिरणी पंचायत जरूरतमंद लोगों बीच सोशल डिस्टेंसिंग पालन टोली माध्यम वैश्विक महामारी कोरो,1
रायपुर ऐम्स कोरोना संक्रमित नाबालिक जमाती मरीज जहालत परिचय देते डॉक्टर्स स्वास्थ्य कर्मियों,1
मैंने बस इतना पढ़ा कर्मकाण्ड ब्राह्मणों कोरोना कर्फ़्यू कारण रोजी रोटी संकट बढ़ा यानी इनके रो,0
तस्वीर इंदौर जहां विशेष लोग कोरोना इलाज पहुंची डॉक्टरों टीम हमला आखिर चाहते,1
देश कोरोना लड़ने लाख बेड्स अस्पताल ICU बेड्स वेंटिलेटर तैयार जबकि,1
क्या राजस्थान सरकार कोरोना महामारी फैलने इंतजार रही प्रदेश हजारों नर्सेज कमी स्वास्थ्य सेवा,1
लॉकडाउन इफ़ैक्ट प्रयागराज बिहार आ मजदूर रास्ते तोड़ा दम लोगों चुकी जान लगता कोरोना,1
शाहरुख़ पाकिस्तान लाखो मदद भेजी कोरोना जैसी मुसीबत भारत लोगो कमा खा वहां फूटी कौ,1
विपक्ष कोरोना वायरस कम हिजड़ों फ़ौज owisi आजमखाँ ताहिरहुसेँ अमातुल्लाखां शाहिदरशीदी हमिदन्सारी वजह,0
इंग्लैंड रानी राजा प्रधानमंत्री कोरोना कारण आइसोलेशन इंग्लैंड चला गृहमंत्री प्,1
कर्नाटक कोरोना वायरस जांच दौरान आशा हेल्थ वर्कर्स हमला watch AajKiBaat tonight,1
राजस्थान सरकार उपमुख्यमंत्री कांग्रेस प्रदेश अध्यक्ष श्रीमान सचिन पायलट जी कोरोना महामारी लड़ने मु,1
कोरोना निपटने भारत सरकार विश्व बैंक लिया अरब डॉलर कर्ज,1
लोग पटाखे फोड़कर रोड परऐसे घूम कोरोना Airport चाइना फ्लाइट बैठा आये,0
विदेशी वस्त्रों होली जलाने अंग्रेज़ भागे प्रकार दिए जलाने कोरोना भागेगा,0
लॉक्डाउन दौर गाँव ‘कोठी’ याद आती मिट्टी बना कमरेनुमा स्टोरेज जिसमें खेत खलिहान आए अनाज स्,0
चलो मंजूर अल्लाह हजार फरिश्ते मस्जिदों कोरोना बचाने आसमान उतार दिये दावे,0
जीत हम जंग ए कोरोना जाहिल ए जमात कठिन दी डगर ख्वाब टूटे हौसला जिंदा घबराना,0
चिकित्सा स्वास्थ्य मंत्री डॉ कोरोना पॉजीटिव मरीजों सेवा लगे चिकित्सक नर्सिंग,1
अगले सप्ताह मोदीजी कहेंगे मित्रो देश वासियों बार कूदना चाहिए पृथ्वी कंपन प्रभाव मिलेगा कोरोना आकाश औ,0
साहब कोरोना मक्खियों चमगादड़ो सुवरों फेल गोली मारो सालो,0
फिलीपींस सरकार कोरोना वायरस भयभीत भारत सरकार हिंदुत्ववादी ठप्पे लगने भयभीत लगा,1
कोरोना बेहद खतरनाक वायरस भ्रांतियां कृपया दूर ले जाति पंथ मजहब संप्रदाय व्यक्तियों,1
खुश वो पावर ग्रिड जिसके तेरहवीं तैयारी लिब्राण्डुओ रखी साला मरते मरते बच  बजेमिनट,0
साध्वी प्रज्ञा बाहर आओ श्राप कोरोना मारो वरना लोग तुम्हें ढोंगी समझेंगे,0
fightagainstcorona अस्पतालों सुविधा डॉक्टरों स्वास्थ्यकर्मियों मेडिकल किट्स व्यापक जांच सु,1
भारत कोरोना समाप्त सिर्फ हीं सही तरीका सभी लोगों कोरोना टेस्ट जल्द जल्द जाए,1
